,,,,,,,,,,,
ARRN,SEQ,HLT,soc1,soc2,soc3,english,용어1,용어2,용어3,용어4,용어5
0001,001,0007,0100,,,ACNE,여드름,,,,
0001,003,0007,0100,,,ACNEIFORM DERMATITIS,여드름모양피부염,여드름성피부염,,,
0001,004,0007,0100,,,RASH ACNEIFORM,여드름성발진,여드름모양발진,발진성여드름,,
0001,005,0007,0100,,,ACNE CYSTIC,여드름성낭포,낭포여드름,포낭형여드름,,
0001,006,0007,0100,,,ACNE PUSTULAR,농포성여드름,고름물집여드름,여드름성물집,농포여드름,
0001,007,0007,0100,,,ACNE AGGRAVATED,여드름악화,,,,
0001,008,0007,0100,,,ACNE CONGLOBATA,응괴여드름,뭉친여드름,응괴성여드름,,
0002,001,0828,0100,0900,,ALOPECIA,탈모,탈모증,,,
0002,003,0828,0100,0900,,HAIR THINNING,모발가늘어짐,세모증,,,
0002,004,0828,0100,0900,,ALOPECIA AREATA,원형탈모증,,,,
0002,005,0828,0100,0900,,ATRICHIA,털없음증,무모증,,,
0002,006,0828,0100,0900,,BALDNESS,대머리,탈모증,,,
0002,007,0828,0100,0900,,HAIR LOSS,모발손실,머리빠짐,모발손상,탈모증,
0002,008,0828,0100,0900,,ATRICHOSIS,무모증,털없음증,,,
0002,009,0828,0100,0900,,LOSS OF EYELASHES,속눈썹손실,속눈썹빠짐,속눈썹손상,,
0002,010,0828,0100,0900,,ALOPECIA TOTALIS,전두탈모증,전체탈모증,전신탈모증,,
0002,011,0828,0100,0900,,ALOPECIA SCARRING,흉터성탈모,흉터성탈모증,흉터형성탈모,,
0002,012,0828,0100,0900,,ALOPECIA UNIVERSALIS,전신탈모증,범발성탈모증,일반탈모증,,
0002,013,0828,0100,0900,,DEFLUVIUM,탈모,누출,탈락,,
0002,014,0828,0100,0900,,LOSS OF EYEBROWS,눈썹손실,눈썹빠짐,눈썹손상,,
0002,015,0828,0100,0900,,HAIR LOSS AGGRAVATED,모발손실악화,악화된모발손실,,,
0003,001,,0100,,,ANGIOEDEMA,혈관부종,,,,
0003,003,,0100,,,QUINCKE'S OEDEMA,퀸케부종,혈관신경성부종,,,
0003,004,,0100,,,GIANT URTICARIA,거대두드러기,,,,
0003,005,,0100,,,ANGIONEUROTIC OEDEMA,혈관신경성부종,맥관신경증성부종,,,
0003,006,,0100,,,GIANT HIVES,거대두드러기,,,,
0003,007,,0100,,,ANGIONEUROTIC OEDEMA AGGRAVATED,혈관신경성부종악화,악화된혈관신경성부종,,,
0003,008,,0100,,,ANGIOEDEMA AGGRAVATED,혈관부종악화,악화된혈관부종,,,
0003,009,,0100,,,NECK OEDEMA,목부종,,,,
0004,001,,0100,,,ARGYRIA,은중독,,,,
0005,001,,0100,,,BROMODERMA,브롬발진,,,,
0005,003,,0100,,,ACNE BROMATA,브롬여드름,여드름,,,
0005,004,,0100,,,BROMODERMA VEGETANS,증식성브롬발진,발전성브롬발진,,,
0006,001,0036,0100,1810,,CHLOASMA,기미,,,,
0006,002,0036,0100,1810,,MELASMA,기미,,,,
0007,001,0007,0100,,,DERMATITIS,피부염,,,,
0007,003,0007,0100,,,DERMATITIS ALLERGIC,알레르기피부염,,,,
0007,004,0007,0100,,,DERMATITIS ATOPIC,아토피피부염,,,,
0007,005,0007,0100,,,DERMATITIS AGGRAVATED,피부염악화,악화된피부염,,,
0008,001,,0100,,,DERMATITIS EXFOLIATIVE,박탈피부염,탈락피부염,탈락성피부염,박탈성피부염,
0008,003,,0100,,,DERMATITIS EXFOLIATIVE AGGRAVATED,악화된박탈성피부염,탈락피부염악화,박탈피부염악화,,
0008,004,,0100,,,SLOUGHING OF SKIN,피부딱지형성,피부딱지,딱지형성피부염,,
0009,001,,0100,1830,,DERMATITIS FUNGAL,진균피부염,진균성피부염,,,
0009,003,,0100,1830,,TINEA,백선증,백선,,,
0009,004,,0100,1830,,TINEA PEDIS,발백선증,무좀,,,
0009,005,,0100,1830,,TINEA NAIL,손발톱백선증,백선손톱,,,
0009,006,,0100,1830,,DERMATOPHYTOSIS,백선증,피부사상균증,곰팡이성피부병,,
0009,007,,0100,1830,,TINEA VERSICOLOR,어루러기,백선,,,
0009,008,,0100,1830,,TINEA ANAL,항문백선증,항문백선,,,
0010,001,0007,0100,,,DERMATITIS LICHENOID,태선모양피부염,태선형피부염,,,
0010,003,0007,0100,,,LICHEN PLANUS-LIKE DERMATITIS,편평태선모양피부염,편평태선형피부염,,,
0010,004,0007,0100,,,NEURODERMIA,신경피부염,신경성피부염,,,
0010,005,0007,0100,,,LICHEN,태선,,,,
0011,001,,0100,,,DERMOGRAPHIA,피부묘기증,피부그림증,,,
0011,003,,0100,,,DERMATOGRAPHIA,피부묘기증,피부그림증,,,
0012,001,0007,0100,,,ECZEMA,습진,,,,
0012,003,0007,0100,,,ECZEMA ALLERGIC,알레르기성습진,알레르기습진,,,
0012,004,0007,0100,,,ECZEMA ATOPIC,아토피성습진,아토피습진,,,
0012,005,0007,0100,,,DERMATITIS ECZEMATOID,습진성피부염,습진피부염,유사습진피부염,,
0012,006,0007,0100,,,ECZEMA ASTEATOTIC,건조습진,습진성건조,,,
0012,007,0007,0100,,,ECZEMA INFANTILE,영아습진,,,,
0012,008,0007,0100,,,ECZEMA AGGRAVATED,습진악화,악화된습진,,,
0013,001,0014,0100,,,EPIDERMAL NECROLYSIS,표피괴사용해,표피괴사증,,,
0013,003,0014,0100,,,DERMATITIS NECROTISING,괴사성피부염,괴사피부염,피부염괴사,,
0013,004,0014,0100,,,LYELL SYNDROME,라이엘증후군,중독성표피괴사증,,,
0013,005,0014,0100,,,TOXIC EPIDERMAL NECROLYSIS,독성표피괴사용해,중독성표피괴사증,,,
0014,001,0014,0100,,,ERYTHEMA MULTIFORME,다형홍반,,,,
0014,003,0014,0100,,,ERYTHEMA ANNULARE,윤상홍반,고리홍반,,,
0015,001,,0100,,,ERYTHEMA NODOSUM,결절홍반,결절성홍반,,,
0016,001,0032,0100,1830,,FURUNCULOSIS,종기증,종기,절종증,,
0016,002,0032,0100,1830,,FURUNCLE (EXCL GENITAL),종기(생식기제외),생식기제외종기,종(생식기외),,
0017,001,,0100,,,HAIR DISCOLOURATION,모발변색,,,,
0017,003,,0100,,,HAIR COLOUR CHANGES,모발색변화,모발색조변화,,,
0018,001,,0100,,,HYPERTRICHOSIS,털과다증,다모증,,,
0018,003,,0100,,,HIRSUTISM,다모증,남성형털과다증,남성형다모증,,
0018,004,,0100,,,HYPERTRICHOSIS GENITAL,생식기다모증,생식기털과다증,,,
0018,005,,0100,,,HAIRINESS,털이많음,털많음,다모증,,
0019,001,,0100,1810,,MELANOSIS,흑색증,흑색소침착증,멜라닌증,,
0019,003,,0100,1810,,NAEVI PIGMENTED,색소모반,,,,
0019,004,,0100,1810,,FRECKLES,주근깨,,,,
0019,005,,0100,1810,,MELANODERMA,멜라닌피부증,,,,
0019,006,,0100,1810,,NAEVI MELANOCYTIC,멜라닌세포성모반,색소세포성모반,멜라닌세포모반,,
0019,007,,0100,1810,,LENTIGO MALIGNA,악성흑색점,,,,
0020,001,0020,0100,,,NAIL DISORDER,손발톱질환,손발톱장애,손톱질환,,
0020,003,0020,0100,,,NAIL DISCOMFORT,손발톱불편,손톱불편감,손발톱질환,,
0020,004,0020,0100,,,NAIL DYSTROPHY,손발톱영양장애,손발톱이상증,손톱이영양증,,
0020,005,0020,0100,,,NAIL PITTING,손발톱오목,손톱피팅,오목형성손발톱,손발톱오목해짐,
0020,007,0020,0100,,,NAIL CHANGES,손발톱변화,손톱변화,손발톱질환,,
0020,008,0020,0100,,,BRITTLE NAILS,약한손발톱,깨지기쉬운손톱,손발톱이세로로갈라짐,,
0020,009,0020,0100,,,NAIL GROWTH CESSATION,손발톱성장중지,손톱성장중단,손발톱안자람,,
0020,010,0020,0100,,,NAIL RIDGING,손발톱능선형성,손발톱융기,손톱연결,집게손발톱,
0021,001,0022,0100,,,PHOTOSENSITIVITY ALLERGIC REACTION,광과민알레르기반응,광과민성알레르기반응,광민감성알러지반응,광민감도알레르기반응,
0022,001,0022,0100,,,PHOTOSENSITIVITY REACTION,광과민반응,,,,
0022,003,0022,0100,,,SUNBURN,일광화상,선번,햇빛화상,,
0022,004,0022,0100,,,SOLAR URTICARIA,일광두드러기,햇볕두드러기,,,
0022,005,0022,0100,,,PHOTOSENSITIVE RASH,광과민성발진,,,,
0022,006,0022,0100,,,"PHOTOSENSITIVITY REACTION, APPLICATION SITE",적용부위광과민반응,광과민반응,광과민반응적용부위,,
0023,001,0022,0100,,,PHOTOSENSITIVITY TOXIC REACTION,광과민독성반응,광과민성독성반응,독성광과민반응,광민감도독성반응,
0024,001,,0100,,,PRURITUS,가려움증,소양증,,,
0024,003,,0100,,,ITCHING,가려움,가려움증,소양증,,
0024,004,,0100,,,PRURITUS AGGRAVATED,가려움증악화,악화된가려움증,소양증악화,,
0025,001,,0100,,,PRURITUS ANI,항문가려움,가려움증항문,항문소양증,항문가려움증,
0025,003,,0100,,,PERIANAL ITCHING,항문주위가려움,항문주위가려움증,,,
0025,004,,0100,,,PRURITUS ANI AGGRAVATED,항문가려움악화,악화된항문가려움,항문소양증악화,,
0026,001,,0100,1420,,PRURITUS GENITAL,생식기소양증,생식기가려움증,생식기가려움,,
0026,003,,0100,1420,,VAGINAL ITCHING,질가려움,질가려움증,,,
0026,004,,0100,1420,,PRURITUS VULVAE,외음가려움증,외음소양증,외음부가려움증,,
0026,005,,0100,1420,,LABIAL ITCHING,입술가려움,입술가려움증,,,
0027,001,0027,0100,,,RASH,발진,,,,
0027,002,0027,0100,,,SKIN ERUPTION,피부발진,,,,
0027,003,0027,0100,,,DRUG ERUPTION,약물발진,약진,약물성발진,,
0027,004,0027,0100,,,ERUPTION,발진,,,,
0027,005,0027,0100,,,TOXICODERMA,중독발진,,,,
0027,006,0027,0100,,,RASH AGGRAVATED,발진악화,악화된발진,,,
0027,007,0027,0100,,,RASH PRURITIC,가려운발진,발진가려움,소양성발진,,
0027,008,0027,0100,,,RASH GENITAL,생식기관발진,생식기발진,,,
0027,009,0027,0100,,,DERMATITIS MEDICAMENTOSA,약물성피부염,약물피부염,약인성피부염,,
0028,001,0027,0100,,,RASH ERYTHEMATOUS,홍반성발진,발진홍반,홍반발진,,
0028,002,0027,0100,,,ERYTHEMA PLANTAR,발바닥홍반,족저홍반,,,
0028,003,0027,0100,,,ERYTHEMA,홍반,,,,
0028,004,0027,0100,,,RASH SCARLATINIFORM,성홍열모양발진,성홍열성발진,성홍열형발진,,
0028,005,0027,0100,,,ERYTHRODERMA,홍색피부증,,,,
0028,006,0027,0100,,,EXANTHEMA,피진,발진,꽃돋이,,
0028,007,0027,0100,,,DERMATITIS SIMPLEX ERYTHEMATOSA,단순홍반피부염,,,,
0028,008,0027,0100,,,RASH ERYTHEMATOUS AGGRAVATED,홍반성발진악화,악화된홍반성발진,홍반성발진악화,악화홍반성발진,
0028,009,0027,0100,,,ERYTHEMA PALMAR,손바닥홍반,수장홍반,,,
0028,010,0027,0100,,,ROSEOLA,장미진,돌발진,,,
0029,001,0027,0100,,,RASH FOLLICULAR,모낭성발진,소포성발진,,,
0030,001,0027,0100,,,RASH MACULO-PAPULAR,반점구진발진,반상및구진상발진,반구진발진,,
0030,003,0027,0100,,,MEASLY RASH,홍역발진,홍역같은발진,홍역모양발진,,
0030,004,0027,0100,,,MORBILLIFORM RASH,홍역모양발진,홍영상발진,,,
0030,005,0027,0100,,,MACULAR RASH,반점발진,반상발진,,,
0030,006,0027,0100,,,PAPULAR RASH,구진발진,구점발진,,,
0030,007,0027,0100,,,PAPULOSQUAMOUS RASH,구진비늘발진,구진및비늘성발진,,,
0030,008,0027,0100,,,PAPULOVESICULAR RASH,구진물집발진,구진소수포발진,구점소수포성발진,구진및소수포성발진,
0030,010,0027,0100,,,VESICULOBULLOUS RASH,소수포물집발진,소수포대수포발진,수포성발진,수포발진,
0030,011,0027,0100,,,VESICULOPUSTULAR RASH,소수포농포성발진,소수포농포발진,잔고름물집발진,소수포및잔고름발진,
0030,012,0027,0100,,,VESICULOPUSTULAR RASH AGGRAVATED,소수포농포성발진악화,소수포성발진악화,잔고름물집발진악화,소수포및잔고름발진악화,
0031,001,0027,0100,,,RASH PSORIAFORM,건성모양발진,건선양발진,건선형발진,,
0031,003,0027,0100,,,RASH SCALY,비늘발진,,,,
0032,001,0032,0100,1830,,RASH PUSTULAR,농포성발진,농포발진,고름물질발진,,
0032,003,0032,0100,1830,,RASH IMPETIGINOUS,농가진성발진,고름딱지증발진,,,
0032,004,0032,0100,1830,,DERMATITIS PYOGENIC,고름피부염,화농성피부염,,,
0032,005,0032,0100,1830,,PYODERMA,고름피부증,고름,농피증,화농피부증,
0032,006,0032,0100,1830,,POMPHOLYX,한포,한포진,물집습진,,
0032,007,0032,0100,1830,,IODODERMA,요오드피부,요오드진,요오드중독발진,,
0033,001,0007,0100,,,SEBORRHOEA,지루,지루성피부,,,
0033,003,0007,0100,,,SKIN GREASY,지성피부,기름기많은피부,피부유분,,
0033,004,0007,0100,,,SKIN SEBORRHOEIC,지루성피부,,,,
0033,005,0007,0100,,,DERMATITIS SEBORRHOEIC,지루성피부염,지루피부염,,,
0033,006,0007,0100,,,RASH SEBORRHOEIC,지루성발진,지루발진,,,
0033,007,0007,0100,,,SEBACEOUS GLANDS OVERACTIVITY,피지샘과다활동,피지선과다활동,과다피지샘,,
0033,008,0007,0100,,,YELLOWING OF SEBACEOUS GLANDS,피지샘황색화,피지선황색화,,,
0034,001,,0100,,,SKIN ATROPHY,피부위축,,,,
0035,001,0036,0100,1810,,SKIN DEPIGMENTATION,피부탈색,피부색소탈색,피부색소탈실,피부탈색소,피부색소이상증
0035,003,0036,0100,1810,,LEUKODERMA,백색피부증,백반,,,
0035,004,0036,0100,1810,,SKIN HYPOPIGMENTATION,피부저색소침착,피부색소저침작증,피부저색소침착증,피부색소침착저하증,
0036,001,0036,0100,1810,,SKIN DISCOLOURATION,피부변색,,,,
0036,003,0036,0100,1810,,SKIN HYPERPIGMENTATION,피부과다색소침착,피부색소과침착증,,,
0036,004,0036,0100,1810,,HYPERPIGMENTATION SKIN,과다색소침착피부,과색소침착피부,,,
0037,001,,0100,,,SKIN DISORDER,피부질환,피부장애,,,
0037,004,,0100,,,SKIN CHAPPED,튼피부,피부갈라짐,피부균열,,
0037,005,,0100,,,SKIN INFLAMMATION NOS,상세불명의피부염증,명시안된피부염증,상세불명의피부염,명시안된피부염,
0037,006,,0100,,,SKIN INFECTION,피부감염,,,,
0037,007,,0100,,,SKIN CYSTS,피부낭,피부낭종,,,
0037,008,,0100,,,SKIN FISSURES,피부틈새,피부균열,,,
0037,009,,0100,,,SKIN INFECTION AGGRAVATED,피부감염악화,악화된피부감염,,,
0037,010,,0100,,,SKIN THINNING,피부얇아짐,피부두께약화,,,
0037,011,,0100,,,SCROTAL IRRITATION,음낭자극,,,,
0037,012,,0100,,,BIOPSY SKIN ABNORMAL,생검피부이상,피부생검이상,비정상적피부생검,,
0037,013,,0100,,,SKIN WRINKLING,피부주름,,,,
0037,014,,0100,,,SKIN INJURY,피부손상,,,,
0038,001,,1700,0100,,SKIN HYPERTROPHY,피부비대,두꺼워진피부,피부두꺼워짐,피부과증식,
0038,003,,1700,0100,,SKIN TUMOR-LIKE CONDITION NOS,상세불명의피부종양유사상태,명시안된피부종양유사상태,,,
0038,004,,1700,0100,,KELOID,켈로이드,흉터종,,,
0038,006,,1700,0100,,TUMOUR-LIKE SKIN CONDITION NOS,상세불명의종양같은피부상태,명시안된종양유사피부상태,,,
0039,001,,0100,,,SKIN ODOR ABNORMAL,피부냄새이상,비정상적피부냄새,,,
0040,001,,0100,,,SKIN STRIAE,피부선,피부줄,,,
0040,003,,0100,,,STRIAE ATROPHIC,피부줄위축,피부선위축,위축된피부선,위축성피부줄,
0040,004,,0100,,,STRIAE PURPLE,자색줄,자색선,자주색줄,,
0041,001,,0100,,,SKIN ULCERATION,피부궤양,피부궤양화,,,
0041,003,,0100,,,LEG ULCER (EXCL VARICOSE),다리궤양(정맥류제외),,,,
0041,004,,0100,,,SCAB,딱지,,,,
0041,005,,0100,,,FOOT ULCER,발궤양,족부궤양,,,
0041,006,,0100,,,SKIN EROSION,피부까짐,피부미란,피부진무름,,
0041,007,,0100,,,ANKLE ULCER,발목궤양,,,,
0041,008,,0100,,,SKIN ULCERATION AGGRAVATED,악화된피부궤양,피부궤양악화,피부궤양화악화,피부궤양형성악화,
0042,001,0014,0100,,,STEVENS JOHNSON SYNDROME,스티븐스-존슨증후군,스티븐스존슨증후군,,,
0042,003,0014,0100,,,ERYTHEMA MULTIFORME SEVERE,중증다형홍반,다형홍반중증,,,
0042,004,0014,0100,,,MUCOCUTANEOUS ULCERATION,점막피부궤양형성,점막및피부궤양,,,
0043,001,,0100,0420,1810,SWEATING INCREASED,땀증가,땀분비증가,,,
0043,003,,0100,0420,1810,DIAPHORESIS,발한,,,,
0043,004,,0100,0420,1810,HYPERHIDROSIS,땀과다증,다한증,과다발한,,
0043,005,,0100,0420,1810,PERSPIRATION EXCESSIVE,과다발한,땀과다,과도하게땀남,,
0044,001,0044,0100,,,URTICARIA,두드러기,,,,
0044,003,0044,0100,,,URTICARIA VESICULOSA,잔물집두드러기,수포성두드러기,,,
0044,004,0044,0100,,,WHEALS,두드러기,팽진,,,
0044,005,0044,0100,,,HIVES,두드러기,,,,
0044,006,0044,0100,,,URTICARIA AGGRAVATED,두드러기악화,악화된두드러기,,,
0044,007,0044,0100,,,NETTLE RASH,쐐기풀발진,,,,
0044,008,0044,0100,,,URTICARIA PIGMENTOSA,색소두드러기,두드러기색소변화,색소성두드러기,색소변성두드러기,
0044,009,0044,0100,,,URTICARIA LOCALIZED,국소두드러기,국소적두드러기,국소부분두드러기,국소성두드러기,
0045,001,0044,0100,,,URTICARIA ACUTE,급성두드러기,,,,
0046,001,0036,0100,1810,,VITILIGO,백반증,백반,,,
0046,003,0036,0100,1810,,VITILIGO AGGRAVATED,악화된백반증,백반증악화,백반악화,,
0047,001,0047,1820,,,APPLICATION SITE REACTION,적용부위반응,시술부위반응,투약부위반응,,
0047,003,0047,1820,,,APPLICATION SITE DERMATITIS,적용부위피부염,시술부위반응피부염,투약부위반응피부염,,
0047,004,0047,1820,,,APPLICATION SITE RASH,적용부위발진,시술부위반응발진,투약부위반응발진,,
0047,005,0047,1820,,,APPLICATION SITE PRURITUS,적용부위가려움,시술부위반응가려움,투약부위반응가려움,,
