질병코드,버전,영문명,한글명
A00,7,Cholera,콜레라
A00.0,7,"Cholera due to Vibrio cholerae 01, biovar cholerae",비브리오 콜레라 01 콜레라형균에 의한 콜레라
A00.1,7,"Cholera due to Vibrio cholerae 01, biovar eltor",비브리오 콜레라 01 엘토르형균에 의한 콜레라
A00.9,7,"Cholera, unspecified",상세불명의 콜레라
A01,7,Typhoid and paratyphoid fevers,장티푸스 및 파라티푸스
A01.0,7,Typhoid fever,장티푸스
A01.1,7,Paratyphoid fever A,파라티푸스 A
A01.2,7,Paratyphoid fever B,파라티푸스 B
A01.3,7,Paratyphoid fever C,파라티푸스 C
A01.4,7,"Paratyphoid fever, unspecified",상세불명의 파라티푸스
A02,7,Other salmonella infections,기타 살모넬라감염
A02.0,7,Salmonella enteritis,살모넬라장염
A02.1,7,Salmonella sepsis,살모넬라패혈증
A02.2,7,Localized salmonella infections,국소적 살모넬라감염
A02.8,7,Other specified salmonella infections,기타 명시된 살모넬라감염
A02.9,7,"Salmonella infection, unspecified",상세불명의 살모넬라감염
A03,7,Shigellosis,시겔라증
A03.0,7,Shigellosis due to Shigella dysenteriae,이질이질균에 의한 시겔라증
A03.1,7,Shigellosis due to Shigella flexneri,플렉스네리이질균에 의한 시겔라증
A03.2,7,Shigellosis due to Shigella boydii,보이디이질균에 의한 시겔라증
A03.3,7,Shigellosis due to Shigella sonnei,소네이이질균에 의한 시겔라증
A03.8,7,Other shigellosis,기타 시겔라증
A03.9,7,"Shigellosis, unspecified",상세불명의 시겔라증
A04,7,Other bacterial intestinal infections,기타 세균성 장감염
A04.0,7,Enteropathogenic Escherichia coli infection,장병원성 대장균감염
A04.1,7,Enterotoxigenic Escherichia coli infection,장독소생산 대장균감염
A04.2,7,Enteroinvasive Escherichia coli infection,장침투성 대장균감염
A04.3,7,Enterohaemorrhagic Escherichia coli infection,장출혈성 대장균감염
A04.4,7,Other intestinal Escherichia coli infection,기타 장대장균감염
A04.5,7,Campylobacter enteritis,캄필로박터장염
A04.6,7,Enteritis due to Yersinia enterocolitica,예르시니아 엔테로콜리티카에 의한 장염
A04.7,7,Enterocolitis due to Clostridium difficile,클로스트리듐 디피실리에 의한 장결장염
A04.8,7,Other specified bacterial intestinal infections,기타 명시된 세균성 장감염
A04.9,7,"Bacterial intestinal infection, unspecified",상세불명의 세균성 장감염
A05,7,"Other bacterial foodborne intoxications, NEC",달리 분류되지 않은 기타 세균성 음식매개중독
A05.0,7,Foodborne staphylococcal intoxication,음식매개포도구균중독
A05.1,7,Botulism,보틀리눔중독
A05.2,7,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,클로스트리듐 퍼프린젠스[클로스트리듐 웰치]에 의한 식중독
A05.3,7,Foodborne Vibrio parahaemolyticus intoxication,장염비브리오균에 의한 식중독
A05.4,7,Foodborne Bacillus cereus intoxication,바실루스 세레우스에 의한 식중독
A05.8,7,Other specified bacterial foodborne intoxications,기타 명시된 세균성 식중독
A05.9,7,"Bacterial foodborne intoxication, unspecified",상세불명의 세균성 식중독
A06,7,Amoebiasis,아메바증
A06.0,7,Acute amoebic dysentery,급성 아메바이질
A06.1,7,Chronic intestinal amoebiasis,만성 장아메바증
A06.2,7,Amoebic nondysenteric colitis,아메바성 비이질성 결장염
A06.3,7,Amoeboma of intestine,장의 아메바종
A06.4,7,Amoebic liver abscess(K77.0*),아메바성 간농양(K77.0*)
A06.5,7,Amoebic lung abscess(J99.8*),아메바성 폐농양(J99.8*)
A06.6,7,Amoebic brain abscess(G07*),아메바성 뇌농양(G07*)
A06.7,7,Cutaneous amoebiasis,피부아메바증
A06.8,7,Amoebic infection of other sites,기타 부위의 아메바성 감염
A06.9,7,"Amoebiasis, unspecified",상세불명의 아메바증
A07,7,Other protozoal intestinal diseases,기타 원충성 장질환
A07.0,7,Balantidiasis,대장섬모충증
A07.1,7,Giardiasis [lambliasis],편모충증[람블편모충증]
A07.2,7,Cryptosporidiosis,와포자충증
A07.3,7,Isosporiasis,등포자충증
A07.8,7,Other specified protozoal intestinal diseases,기타 명시된 원충성 장질환
A07.9,7,"Protozoal intestinal disease, unspecified",상세불명의 원충성 장질환
