성분코드,성분명(한),성분명(영)
M002615,알코올제제,Alcohol Preparation
M002680,용제,Solvent
M004120,색소제제,Color Formulation
M006423,나프톨계제제,Naphthols
M007131,정제수,Purified Water
M007910,반창고,Adhesive Plaster
M010010,디프테리아톡소이드,Diphtheria Toxoid
M010048,인적혈구농축액,Human RBC Concentrate Solution
M010053,사람혈액응고제IX인자복합체,Human Blood Coagulation Factor IX Complex
M010062,사람혈청알부민,Human Normal Serum Albumin
M010084,파상풍톡소이드,Tetanus Toxoid
M010085,흡착파상풍톡소이드,Adsorbed Tetanus Toxoid
M010106,항파상풍면역글로불린,Anti-Tetanus Immunoglobulin
M010128,B형간염사람면역글로불린,Hepatitis B Human Normal Immunoglobulin
M012369,디이소프로필나프탈렌설폰산나트륨,Sodium Diisopropyl Naphthalene Sulfonate
M020004,그리세오풀빈,Griseofulvin
M020020,니스타틴,Nystatin
M020027,독시사이클린하이클레이트,Doxycycline Hyclate
M020042,리팜피신,Rifampicin
M020048,메탐피실린나트륨,Metampicillin Sodium
M020051,미데카마이신,Medecamycin
M020052,미토마이신씨,Mitomycin C
M020054,바시트라신,Bacitracin
M020058,세파세트릴나트륨,Cefacetrile Sodium
M020059,세파졸린나트륨,Cefazolin Sodium
M020060,세파피린나트륨,Cefapirin Sodium
M020063,세팔렉신,Cefalexin
M020065,세팔렉신일수화물,Cefalexin Monohydrate
M020068,세팔로틴나트륨,Cefalotin Sodium
M020072,스피라마이신,Spiramycin
M020075,시클라실린,Ciclacillin
M020076,시클로세린,Cycloserine
M020079,아목시실린,Amoxicillin
M020080,아목시실린나트륨,Amoxicillin Sodium
M020081,아목시실린삼수화물,Amoxicillin Trihydrate
M020084,아미카신,Amikacin
M020086,아세틸스피라마이신,Acetylspiramycin
M020088,암포테리신B,Amphotericin B
M020089,암피실린,Ampicillin
M020092,암피실린나트륨,Ampicillin Sodium
M020103,옥시테트라사이클린,Oxytetracycline
M020110,조사마이신,Josamycin
M020122,클로람페니콜,Chloramphenicol
M020130,클록사실린나트륨,Cloxacillin Sodium
M020136,키타사마이신,Kitasamycin
M020140,테트라사이클린,Tetracycline
M020144,토브라마이신,Tobramycin
M020148,티로트리신,Tyrothricin
M020155,벤자틴페니실린지,Benzathine Penicillin G
M020181,세포페라존나트륨,Cefoperazone Sodium
M020190,세포탁심,Cefotaxime
M020191,세포탁심나트륨,Cefotaxime Sodium
M020192,피페라실린나트륨,Piperacillin Sodium
M020194,포스포마이신나트륨,Fosfomycin Sodium
M020203,세파만돌나페이트,Cefamandole Nafate
M020206,라타목세프나트륨,Latamoxef Sodium
M020212,시소마이신,sisomicin
M020220,세포테탄,Cefotetan
M020221,세파클러,Cefaclor
M020223,그라미시딘,Gramicidin
M020225,세프트리악손나트륨,Ceftriaxone Sodium
M020227,세프메타졸나트륨,Cefmetazole Sodium
M020299,엽산25%,Folic Acid 25%
M020301,세프테졸,Ceftezole
M020303,세프테졸나트륨,Ceftezole Sodium
M020304,세프타지딤,Ceftazidime
M020305,세프록사딘,Cefroxadine
M023167,리시노프릴,Lisinopril
M040002,멸균가아제,Sterile Absorbant Gauze
M040003,간유,Cod Liver Oil
M040004,갈근,Pueraria Root
M040005,감자전분,Potato Starch
M040006,감초,Licorice
M040007,건강,Ginger
M040009,건조효모,Dried Yeast
M040010,겐티아나,Gentian
M040013,결명자,Cassia Seed
M040014,경납,Sperm Wax
M040015,경화유,Hydrogenated Oil
M040018,고목,Picrasma Wood
M040020,고삼,Sophora Root
M040024,과당,Fructose
M040026,과망간산칼륨,Potassium Permanganate
M040027,과산화수소수,Hydrogen Peroxide Solution
M040029,괴화,Sophora Flower
M040030,구기자,Lycium Fruit
M040038,규산마그네슘,Magnesium Silicate
M040039,천연규산알루미늄,Natural Aluminium Silicate
M040040,합성규산알루미늄,Synthetic Aluminium Silicate
M040041,글루콘산칼슘,Calcium Gluconate
M040043,글리세린,Glycerin
M040048,길경,Platycodon Root
M040049,길초근,Valerian Root and Rhizome
M040053,낙화생유,Peanut Oil
M040054,날리딕스산,Nalidixic Acid
M040055,노르게스트렐,Norgestrel
M040059,노스카핀,Noscapine
M040061,노회,Aloe
M040063,니코틴산,Nicotinic Acid
M040064,니코틴산아미드,Nicotinamide
M040065,니트로글리세린,Nitroglycerin
